name,nickname,weight_class,wins,losses,draws,height_cm,reach_cm,stance,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,striking_accuracy,striking_defense,takedown_avg_per_fight,takedown_accuracy,takedown_defense,submission_avg_per_fight
Alex Nicholson,The Spartan,Middleweight,7,4,0,193.04,195.58,Orthodox,4.12,4.65,43,47,0.0,0,50,0.5
Fatima Kline,The Archangel,Strawweight,8,1,0,167.64,170.18,Orthodox,3.94,2.29,49,59,1.21,60,50,0.0
Tim Elliott,,Flyweight,22,13,1,170.18,167.64,Southpaw,3.37,2.65,44,57,3.71,47,59,1.1
Miguel Torres,,Bantamweight,44,9,0,175.26,193.04,Orthodox,3.98,1.86,43,74,0.0,0,17,1.6
Gadzhi Omargadzhiev,,Welterweight,13,2,0,185.42,180.34,Switch,1.8,2.2,39,39,1.35,30,60,0.5
Roger Hollett,The Hulk,Light Heavyweight,13,5,0,180.34,,Orthodox,1.83,6.47,47,34,1.0,28,30,0.0
KB Bhullar,The Bengal,Middleweight,8,2,0,193.04,198.12,Switch,4.31,5.39,49,45,0.0,0,0,0.0
Ovince Saint Preux,,Light Heavyweight,27,18,0,190.5,203.2,Southpaw,3.03,3.33,47,47,1.09,36,67,0.5
Charlie Brenneman,The Spaniard,Lightweight,19,8,0,177.8,177.8,Orthodox,1.52,1.55,56,46,4.23,42,72,0.0
Islam Dulatov,The Ripper,Welterweight,12,1,0,190.5,190.5,Orthodox,8.78,4.24,54,50,2.2,100,100,0.0
John Howard,Doomsday,Welterweight,24,13,0,170.18,182.88,Orthodox,2.15,3.08,50,51,2.7,49,53,0.4
Yohan Lainesse,White Lion,Welterweight,9,3,0,185.42,193.04,Orthodox,2.22,3.38,41,58,0.94,28,72,0.5
Clay Guida,The Carpenter,Lightweight,38,22,0,170.18,177.8,Orthodox,2.63,3.0,33,61,3.1,35,66,0.6
Dan Ige,50K,Featherweight,19,10,0,170.18,180.34,Orthodox,3.64,3.56,45,56,0.89,25,56,0.2
Alejandro Perez,Turbo,Bantamweight,23,9,1,167.64,170.18,Orthodox,3.45,3.18,35,61,0.54,22,70,0.3
TJ Waldburger,,Welterweight,16,9,0,180.34,190.5,Orthodox,2.02,2.39,51,40,3.03,46,40,4.8
Cristiane Justino,Cyborg,Featherweight,21,2,0,172.72,172.72,Orthodox,7.28,2.25,52,64,0.66,55,94,0.4
Adriano Santos,,,0,1,0,,,,0.0,0.0,0,0,0.0,0,0,0.0
Baergeng Jieleyisi,,Featherweight,18,7,0,175.26,180.34,Orthodox,1.61,2.62,35,52,1.73,38,78,0.2
Lewis Gonzalez,Lethal,Welterweight,11,3,0,177.8,,Orthodox,1.4,1.87,37,41,2.0,33,62,0.0
Niklas Backstrom,,Featherweight,11,3,0,185.42,,Orthodox,1.12,3.65,41,40,2.92,80,72,2.2
Kaynan Kruschewsky,Bahia,Lightweight,15,3,0,182.88,185.42,Orthodox,5.67,5.71,50,46,2.74,100,75,2.1
Dmitrii Smoliakov,The Lifeguard,Heavyweight,9,3,0,187.96,187.96,Switch,1.44,3.81,42,55,0.0,0,75,0.0
Ruan Potts,Fangzz,Heavyweight,11,6,0,187.96,190.5,Orthodox,0.85,5.92,37,22,0.75,16,33,2.3
Brock Larson,,Welterweight,42,10,0,180.34,180.34,Southpaw,1.39,1.5,46,55,2.67,34,43,2.0
Adrian Yanez,,Bantamweight,17,6,0,170.18,177.8,Orthodox,6.23,5.75,41,54,0.0,0,81,0.0
Gloria de Paula,Glorinha,Strawweight,6,5,0,165.1,170.18,Orthodox,4.89,3.77,53,66,0.74,37,65,0.5
Krzysztof Jotko,,Middleweight,24,6,0,185.42,195.58,Southpaw,2.98,2.23,42,57,1.33,39,82,0.1
Vladimir Matyushenko,The Janitor,Light Heavyweight,27,8,0,182.88,187.96,Orthodox,1.9,1.62,44,59,3.25,46,70,0.1
Elizabeth Phillips,,Bantamweight,6,6,0,167.64,165.1,Orthodox,2.6,3.07,33,58,0.75,25,53,0.2
Lucas Alexander,The Lion,Featherweight,8,5,0,180.34,185.42,Orthodox,4.69,2.87,57,56,0.0,0,60,0.0
Daniel Spohn,Dragon,Light Heavyweight,15,6,0,193.04,200.66,Southpaw,2.42,1.6,49,53,0.0,0,28,2.5
Jesus Pinedo,El Mudo,Lightweight,16,5,1,177.8,,Southpaw,3.23,4.37,38,52,2.5,100,100,0.0
Angel Pacheco,,Bantamweight,7,3,0,172.72,177.8,Orthodox,9.5,11.47,39,41,0.0,0,28,0.0
Carlos Hernandez,,Flyweight,10,5,0,172.72,170.18,Orthodox,3.83,3.5,45,50,1.56,21,65,0.2
Amaury Bitetti,,Middleweight,5,2,0,175.26,,Orthodox,0.0,0.0,0,0,0.0,0,0,0.0
Myktybek Orolbai,,Lightweight,14,2,1,177.8,187.96,Orthodox,3.11,3.08,48,50,5.82,45,40,0.7
Gabriel Bonfim,Marretinha,Welterweight,18,1,0,185.42,182.88,Orthodox,4.54,3.53,45,63,4.03,55,76,1.6
Leonardo Morales,Chimy,Bantamweight,6,2,0,172.72,,Southpaw,2.05,2.05,47,58,0.0,0,62,0.0
JJ Aldrich,,Flyweight,14,7,0,165.1,170.18,Southpaw,3.96,4.32,47,61,0.75,26,67,0.0
Khama Worthy,The Death Star,Lightweight,16,9,0,180.34,187.96,Orthodox,4.18,4.45,48,46,0.0,0,57,0.7
Lukasz Brzeski,The Bull,Heavyweight,9,7,1,190.5,198.12,Orthodox,4.9,3.65,50,54,0.41,33,35,0.4
Minoki Ichihara,,Middleweight,0,1,0,170.18,,Orthodox,0.0,0.0,0,0,0.0,0,0,0.0
Yuneisy Duben,,Flyweight,6,1,0,162.56,165.1,Orthodox,13.53,10.75,48,53,0.0,0,0,0.0
Ross Pointon,The Gladiator,Welterweight,6,17,0,172.72,,Orthodox,2.62,2.77,23,58,1.19,100,0,0.0
Junie Browning,,Lightweight,5,6,0,175.26,,Orthodox,3.76,1.76,48,66,3.53,66,0,3.5
Fabio Cherant,Water Buffalo,Light Heavyweight,7,4,0,185.42,187.96,Southpaw,1.35,4.89,40,38,0.0,0,0,0.0
Yosdenis Cedeno,Pink Panther,Lightweight,10,6,1,172.72,175.26,Orthodox,1.64,1.6,29,67,0.0,0,31,0.3
John Albert,Prince,Bantamweight,6,5,0,172.72,172.72,Orthodox,3.05,2.82,49,35,0.0,0,50,6.1
Din Thomas,Dinyero,Lightweight,26,9,0,175.26,,Orthodox,1.85,2.6,37,59,1.38,52,76,1.2
Mike Rhodes,Biggie,Welterweight,10,5,0,185.42,187.96,Orthodox,3.2,4.13,39,64,0.96,33,75,0.5
Artem Lobov,The Russian Hammer,Featherweight,13,15,1,175.26,165.1,Southpaw,3.52,4.82,41,50,0.39,25,52,0.0
Kyle Bradley,,Lightweight,19,12,0,175.26,180.34,Orthodox,1.99,3.45,40,58,0.65,50,40,0.0
Pete Rodriguez,Dead Game,Welterweight,5,2,0,175.26,180.34,Switch,9.28,12.83,43,42,0.0,0,100,0.0
Zachary Reese,Savage,Middleweight,9,2,0,193.04,195.58,Switch,4.28,2.99,54,43,2.88,58,57,1.2
Houston Alexander,The Assassin,Light Heavyweight,17,15,1,182.88,182.88,Orthodox,3.06,3.2,54,52,1.19,57,33,0.0
Tom DeBlass,,Middleweight,9,2,0,182.88,,Orthodox,1.5,4.43,35,37,1.0,50,28,0.5
Wade Shipp,The Nightmare,Heavyweight,11,5,0,190.5,,Orthodox,4.29,2.14,86,0,0.0,0,75,0.0
Sean Soriano,,Featherweight,14,8,0,175.26,177.8,Orthodox,3.18,2.14,61,56,1.33,55,52,0.0
Kelly Faszholz,,Bantamweight,4,2,0,172.72,,Orthodox,4.01,3.61,48,52,0.0,0,44,0.0
Bryan Barberena,Bam Bam,Middleweight,18,12,0,182.88,182.88,Southpaw,5.35,4.59,48,44,0.13,22,50,0.3
Kazushi Sakuraba,The Gracie Hunter,Middleweight,26,17,1,182.88,,Southpaw,1.26,2.03,41,51,1.26,31,48,1.7
Jonathan Martinez,Dragon,Bantamweight,19,6,0,172.72,177.8,Southpaw,4.44,4.09,49,56,0.38,35,68,0.1
Chris Holdsworth,,Bantamweight,6,0,0,180.34,,,1.85,1.94,29,58,3.38,62,100,2.0
Will Chope,The Kill,Featherweight,34,13,0,193.04,,Switch,4.43,9.93,27,46,0.0,0,0,0.0
Miles Johns,Chapo,Bantamweight,15,4,0,170.18,172.72,Orthodox,3.38,2.99,44,66,1.29,26,83,0.0
Waylon Lowe,,Featherweight,16,7,0,170.18,,Southpaw,1.88,2.4,55,53,4.47,55,83,0.3
Kiichi Kunimoto,Strasser,Welterweight,18,7,2,177.8,180.34,Orthodox,1.87,3.92,44,41,1.59,20,28,0.3
James Bochnovic,,Light Heavyweight,8,3,0,193.04,205.74,Orthodox,0.65,3.64,26,21,0.0,0,0,0.0
Tamires Vidal,Tractor,Bantamweight,7,4,0,167.64,172.72,Orthodox,2.91,4.46,53,49,0.0,0,35,0.7
David Abbott,Tank,Heavyweight,10,15,0,182.88,,Switch,1.35,3.55,30,38,1.07,33,66,0.0
Daniel Cormier,DC,Heavyweight,22,3,0,180.34,182.88,Orthodox,4.25,2.92,52,54,1.83,44,80,0.4
Richie Hightower,The Dirty Samurai,Welterweight,8,4,0,172.72,,Orthodox,4.62,6.92,35,21,3.46,100,100,0.0
Timothy Johnson,,Heavyweight,12,4,0,190.5,195.58,Southpaw,3.43,3.08,45,44,1.09,24,69,0.0
David Bielkheden,,Lightweight,24,12,0,177.8,180.34,Orthodox,1.11,1.64,57,54,2.65,63,14,0.0
Amar Suloev,,Middleweight,24,7,0,175.26,,Orthodox,1.98,2.19,37,70,0.27,100,88,0.3
Nam Phan,,Bantamweight,21,17,0,167.64,177.8,Orthodox,4.52,6.55,37,59,0.18,18,60,0.2
Sean Pierson,The Punisher,Welterweight,14,6,0,182.88,193.04,Southpaw,3.84,3.73,39,64,0.39,18,66,0.4
Arman Tsarukyan,Ahalkalakets,Lightweight,22,3,0,170.18,182.88,Orthodox,3.79,1.84,48,53,3.25,37,75,0.0
Terrence Mitchell,,Bantamweight,14,4,0,177.8,187.96,Orthodox,2.21,8.85,34,41,3.69,50,0,0.0
Noad Lahat,Neo,Featherweight,11,2,0,175.26,175.26,Orthodox,2.79,1.47,46,63,2.37,26,16,2.4
Tony Gravely,,Bantamweight,23,9,0,165.1,175.26,Orthodox,3.82,4.47,48,44,5.4,41,52,0.3
Xavier Foupa-Pokam,Professor X,Middleweight,32,22,0,185.42,,Open Stance,1.47,2.5,43,49,0.0,0,16,0.0
Tristan Connelly,Boondock,Featherweight,14,8,0,177.8,172.72,Orthodox,3.31,2.96,51,50,0.33,14,60,0.3
Vinicius Oliveira,LokDog,Bantamweight,23,3,0,175.26,177.8,Switch,5.28,2.89,43,57,1.67,50,80,0.2
Paul Varelans,The Polar Bear,Super Heavyweight,9,9,0,203.2,,Orthodox,0.0,0.0,0,0,0.0,0,0,0.0
Jorge Lopez,,Welterweight,11,5,0,177.8,,Orthodox,2.47,2.57,59,50,3.5,41,81,0.0
Maurice Smith,,Heavyweight,12,14,0,187.96,,Orthodox,0.41,0.47,46,60,0.89,50,20,0.9
Mostapha Al-Turk,,Heavyweight,6,6,0,187.96,195.58,Orthodox,1.36,3.61,19,53,0.0,0,0,0.0
Jorge Gurgel,,Lightweight,14,10,0,170.18,175.26,Orthodox,3.37,3.62,32,62,0.81,23,60,0.5
Lance Benoist,,Welterweight,7,2,0,180.34,182.88,Southpaw,3.68,2.7,51,56,1.5,33,61,0.0
Ramona Pascual,,Bantamweight,6,5,0,170.18,167.64,Southpaw,3.87,8.43,57,46,1.81,19,100,0.0
Steve Steinbeiss,The Hooligan,Middleweight,9,4,0,190.5,190.5,Orthodox,3.92,1.86,55,49,0.44,50,58,0.0
Macy Chiasson,,Bantamweight,11,4,0,180.34,182.88,Orthodox,3.49,2.68,46,45,2.08,35,71,0.4
Joe Pardo,,Heavyweight,4,6,0,185.42,,Southpaw,0.0,0.0,0,0,0.0,0,0,0.0
Shamar Bailey,,Lightweight,16,11,0,175.26,190.5,Southpaw,1.56,3.91,20,69,1.5,33,37,0.0
Wes Albritton,,Light Heavyweight,0,1,0,177.8,,Orthodox,0.0,0.0,0,0,0.0,0,0,0.0
Marcin Prachnio,,Light Heavyweight,17,9,0,190.5,185.42,Orthodox,5.52,3.15,54,54,0.14,20,53,0.0
Edgar Garcia,,Welterweight,14,5,0,177.8,180.34,Orthodox,3.16,4.23,29,60,2.21,57,50,0.6
Martin Buday,Badys,Heavyweight,16,2,0,193.04,195.58,Orthodox,4.39,4.49,53,55,0.15,20,93,0.1
Mark Holst,Boots,Lightweight,12,6,0,182.88,,Orthodox,0.25,1.67,19,47,0.76,100,60,2.3
John Campetella,,Heavyweight,0,1,0,175.26,,Orthodox,0.0,0.0,0,0,0.0,0,0,0.0
Angela Magana,Your Majesty,Strawweight,11,9,0,154.94,165.1,Orthodox,1.53,4.92,28,42,0.4,25,28,0.4
Brad Tavares,,Middleweight,21,12,0,185.42,187.96,Orthodox,3.42,3.36,43,54,0.73,26,81,0.0
Micheal Gillmore,The Gentleman,Welterweight,6,5,0,180.34,182.88,Orthodox,2.04,3.02,57,43,0.0,0,50,0.0
James Mulheron,,Heavyweight,11,2,0,177.8,185.42,Orthodox,2.4,3.47,31,42,0.0,0,25,0.0
Danny Martinez,The Gremlin,Flyweight,21,8,0,167.64,170.18,Orthodox,2.73,3.77,28,63,3.0,45,36,0.0
Dustin Kimura,The Diamond,Bantamweight,11,3,0,170.18,180.34,Orthodox,1.33,3.82,21,51,0.93,37,50,2.2
Loopy Godinez,,Strawweight,14,5,0,157.48,154.94,Orthodox,4.51,4.03,49,62,2.96,41,81,0.9
Alan Patrick,Nuguette,Lightweight,15,4,0,180.34,187.96,Southpaw,1.82,2.95,40,43,3.01,33,43,0.3
Alexis Dufresne,Sneaky Zebra,Bantamweight,6,3,0,175.26,,Orthodox,1.33,3.33,27,60,1.5,50,50,0.0
Mark De La Rosa,Bumblebee,Bantamweight,11,5,0,167.64,165.1,Orthodox,3.13,5.0,35,48,0.54,13,40,0.2
