fighter_a_name,fighter_b_name,winner_name,fight_date,method,round,event_name
Rustam Khabilov,Kajan Johnson,Rustam Khabilov,2018-09-15,Decision - Split,3,UFC Fight Night: Hunt vs. Oleinik
Petr Yan,Jin Soo Son,Petr Yan,2018-09-15,Decision - Unanimous,3,UFC Fight Night: Hunt vs. Oleinik
Mairbek Taisumov,Desmond Green,Mairbek Taisumov,2018-09-15,Decision - Unanimous,3,UFC Fight Night: Hunt vs. Oleinik
Magomed Ankalaev,Marcin Prachnio,Magomed Ankalaev,2018-09-15,KO/TKO,1,UFC Fight Night: Hunt vs. Oleinik
Adam Yandiev,Jordan Johnson,Jordan Johnson,2018-09-15,Submission,2,UFC Fight Night: Hunt vs. Oleinik
Merab Dvalishvili,Terrion Ware,Merab Dvalishvili,2018-09-15,Decision - Unanimous,3,UFC Fight Night: Hunt vs. Oleinik
Tyron Woodley,Darren Till,Tyron Woodley,2018-09-08,Submission,2,UFC 228: Woodley vs. Till
Ramazan Emeev,Stefan Sekulic,Ramazan Emeev,2018-09-15,Decision - Unanimous,3,UFC Fight Night: Hunt vs. Oleinik
Jessica Andrade,Karolina Kowalkiewicz,Jessica Andrade,2018-09-08,KO/TKO,1,UFC 228: Woodley vs. Till
Jimmie Rivera,John Dodson,Jimmie Rivera,2018-09-08,Decision - Unanimous,3,UFC 228: Woodley vs. Till
Zabit Magomedsharipov,Brandon Davis,Zabit Magomedsharipov,2018-09-08,Submission,2,UFC 228: Woodley vs. Till
Carla Esparza,Tatiana Suarez,Tatiana Suarez,2018-09-08,KO/TKO,3,UFC 228: Woodley vs. Till
Aljamain Sterling,Cody Stamann,Aljamain Sterling,2018-09-08,Submission,2,UFC 228: Woodley vs. Till
Abdul Razak Alhassan,Niko Price,Abdul Razak Alhassan,2018-09-08,KO/TKO,1,UFC 228: Woodley vs. Till
Geoff Neal,Frank Camacho,Geoff Neal,2018-09-08,KO/TKO,2,UFC 228: Woodley vs. Till
Charles Byrd,Darren Stewart,Darren Stewart,2018-09-08,KO/TKO,2,UFC 228: Woodley vs. Till
Jim Miller,Alex White,Jim Miller,2018-09-08,Submission,1,UFC 228: Woodley vs. Till
Diego Sanchez,Craig White,Diego Sanchez,2018-09-08,Decision - Unanimous,3,UFC 228: Woodley vs. Till
Irene Aldana,Lucie Pudilova,Irene Aldana,2018-09-08,Decision - Split,3,UFC 228: Woodley vs. Till
TJ Dillashaw,Cody Garbrandt,TJ Dillashaw,2018-08-04,KO/TKO,1,UFC 227: Dillashaw vs. Garbrandt 2
Robert Sanchez,Jarred Brooks,Jarred Brooks,2018-09-08,Decision - Split,3,UFC 228: Woodley vs. Till
Polyana Viana,JJ Aldrich,JJ Aldrich,2018-08-04,Decision - Unanimous,3,UFC 227: Dillashaw vs. Garbrandt 2
Demetrious Johnson,Henry Cejudo,Henry Cejudo,2018-08-04,Decision - Split,5,UFC 227: Dillashaw vs. Garbrandt 2
Cub Swanson,Renato Moicano,Renato Moicano,2018-08-04,Submission,1,UFC 227: Dillashaw vs. Garbrandt 2
Ricky Simon,Montel Jackson,Ricky Simon,2018-08-04,Decision - Unanimous,3,UFC 227: Dillashaw vs. Garbrandt 2
Pedro Munhoz,Brett Johns,Pedro Munhoz,2018-08-04,Decision - Unanimous,3,UFC 227: Dillashaw vs. Garbrandt 2
Thiago Santos,Kevin Holland,Thiago Santos,2018-08-04,Decision - Unanimous,3,UFC 227: Dillashaw vs. Garbrandt 2
Ricardo Ramos,Kyung Ho Kang,Ricardo Ramos,2018-08-04,Decision - Split,3,UFC 227: Dillashaw vs. Garbrandt 2
Alex Perez,Jose Torres,Alex Perez,2018-08-04,KO/TKO,1,UFC 227: Dillashaw vs. Garbrandt 2
