fighter_a_name,fighter_b_name,winner_name,fight_date,method,round,event_name
SeungWoo Choi,Josh Culibao,Josh Culibao,2022-06-11,Decision - Split,3,UFC 275: Teixeira vs. Prochazka
Maheshate,Steve Garcia,Maheshate,2022-06-11,KO/TKO,1,UFC 275: Teixeira vs. Prochazka
Ramona Pascual,Joselyne Edwards,Joselyne Edwards,2022-06-11,Decision - Unanimous,3,UFC 275: Teixeira vs. Prochazka
Liang Na,Silvana Gomez Juarez,Silvana Gomez Juarez,2022-06-11,KO/TKO,1,UFC 275: Teixeira vs. Prochazka
Kyung Ho Kang,Batgerel Danaa,Kyung Ho Kang,2022-06-11,Decision - Unanimous,3,UFC 275: Teixeira vs. Prochazka
Dan Ige,Movsar Evloev,Movsar Evloev,2022-06-04,Decision - Unanimous,3,UFC Fight Night: Volkov vs. Rozenstruik
Alexander Volkov,Jairzinho Rozenstruik,Alexander Volkov,2022-06-04,KO/TKO,1,UFC Fight Night: Volkov vs. Rozenstruik
Michael Trizano,Lucas Almeida,Lucas Almeida,2022-06-04,KO/TKO,3,UFC Fight Night: Volkov vs. Rozenstruik
Karine Silva,Poliana Botelho,Karine Silva,2022-06-04,Submission,1,UFC Fight Night: Volkov vs. Rozenstruik
Ode Osbourne,Zarrukh Adashev,Ode Osbourne,2022-06-04,KO/TKO,1,UFC Fight Night: Volkov vs. Rozenstruik
Alonzo Menifield,Askar Mozharov,Alonzo Menifield,2022-06-04,KO/TKO,1,UFC Fight Night: Volkov vs. Rozenstruik
Damon Jackson,Dan Argueta,Damon Jackson,2022-06-04,Decision - Unanimous,3,UFC Fight Night: Volkov vs. Rozenstruik
Felice Herrig,Karolina Kowalkiewicz,Karolina Kowalkiewicz,2022-06-04,Submission,2,UFC Fight Night: Volkov vs. Rozenstruik
Joe Solecki,Alex Da Silva,Joe Solecki,2022-06-04,Decision - Majority,3,UFC Fight Night: Volkov vs. Rozenstruik
Niklas Stolze,Benoit Saint Denis,Benoit Saint Denis,2022-06-04,Submission,2,UFC Fight Night: Volkov vs. Rozenstruik
Johnny Munoz,Tony Gravely,Tony Gravely,2022-06-04,KO/TKO,1,UFC Fight Night: Volkov vs. Rozenstruik
Jeff Molina,Zhalgas Zhumagulov,Jeff Molina,2022-06-04,Decision - Split,3,UFC Fight Night: Volkov vs. Rozenstruik
Rinat Fakhretdinov,Andreas Michailidis,Rinat Fakhretdinov,2022-06-04,Decision - Unanimous,3,UFC Fight Night: Volkov vs. Rozenstruik
Erin Blanchfield,JJ Aldrich,Erin Blanchfield,2022-06-04,Submission,2,UFC Fight Night: Volkov vs. Rozenstruik
Jan Blachowicz,Aleksandar Rakic,Jan Blachowicz,2022-05-14,KO/TKO,3,UFC Fight Night: Blachowicz vs. Rakic
Ryan Spann,Ion Cutelaba,Ryan Spann,2022-05-14,Submission,1,UFC Fight Night: Blachowicz vs. Rakic
Davey Grant,Louis Smolka,Davey Grant,2022-05-14,KO/TKO,3,UFC Fight Night: Blachowicz vs. Rakic
Katlyn Cerminara,Amanda Ribas,Katlyn Cerminara,2022-05-14,Decision - Split,3,UFC Fight Night: Blachowicz vs. Rakic
Jake Hadley,Allan Nascimento,Allan Nascimento,2022-05-14,Decision - Unanimous,3,UFC Fight Night: Blachowicz vs. Rakic
Frank Camacho,Manuel Torres,Manuel Torres,2022-05-14,KO/TKO,1,UFC Fight Night: Blachowicz vs. Rakic
Viviane Araujo,Andrea Lee,Viviane Araujo,2022-05-14,Decision - Unanimous,3,UFC Fight Night: Blachowicz vs. Rakic
Michael Johnson,Alan Patrick,Michael Johnson,2022-05-14,KO/TKO,2,UFC Fight Night: Blachowicz vs. Rakic
Virna Jandiroba,Angela Hill,Virna Jandiroba,2022-05-14,Decision - Unanimous,3,UFC Fight Night: Blachowicz vs. Rakic
Nick Maximov,Andre Petroski,Andre Petroski,2022-05-14,Submission,1,UFC Fight Night: Blachowicz vs. Rakic
Tatsuro Taira,Carlos Candelario,Tatsuro Taira,2022-05-14,Decision - Unanimous,3,UFC Fight Night: Blachowicz vs. Rakic
Rob Font,Marlon Vera,Marlon Vera,2022-04-30,Decision - Unanimous,5,UFC Fight Night: Font vs. Vera
Andrei Arlovski,Jake Collier,Andrei Arlovski,2022-04-30,Decision - Split,3,UFC Fight Night: Font vs. Vera
Andre Fili,Joanderson Brito,Joanderson Brito,2022-04-30,KO/TKO,1,UFC Fight Night: Font vs. Vera
Jared Gordon,Grant Dawson,Grant Dawson,2022-04-30,Submission,3,UFC Fight Night: Font vs. Vera
Alexandr Romanov,Chase Sherman,Alexandr Romanov,2022-04-30,Submission,1,UFC Fight Night: Font vs. Vera
Darren Elkins,Tristan Connelly,Darren Elkins,2022-04-30,Decision - Unanimous,3,UFC Fight Night: Font vs. Vera
Krzysztof Jotko,Gerald Meerschaert,Krzysztof Jotko,2022-04-30,Decision - Unanimous,3,UFC Fight Night: Font vs. Vera
Daniel Lacerda,Francisco Figueiredo,Francisco Figueiredo,2022-04-30,Submission,1,UFC Fight Night: Font vs. Vera
Gabe Green,Yohan Lainesse,Gabe Green,2022-04-30,KO/TKO,2,UFC Fight Night: Font vs. Vera
Natan Levy,Mike Breeden,Natan Levy,2022-04-30,Decision - Unanimous,3,UFC Fight Night: Font vs. Vera
Gina Mazany,Shanna Young,Shanna Young,2022-04-30,KO/TKO,2,UFC Fight Night: Font vs. Vera
Michael Chandler,Tony Ferguson,Michael Chandler,2022-05-07,KO/TKO,2,UFC 274: Oliveira vs. Gaethje
Rose Namajunas,Carla Esparza,Carla Esparza,2022-05-07,Decision - Split,5,UFC 274: Oliveira vs. Gaethje
Charles Oliveira,Justin Gaethje,Charles Oliveira,2022-05-07,Submission,1,UFC 274: Oliveira vs. Gaethje
Francisco Trinaldo,Danny Roberts,Francisco Trinaldo,2022-05-07,Decision - Unanimous,3,UFC 274: Oliveira vs. Gaethje
Mauricio Rua,Ovince Saint Preux,Ovince Saint Preux,2022-05-07,Decision - Split,3,UFC 274: Oliveira vs. Gaethje
Macy Chiasson,Norma Dumont,Macy Chiasson,2022-05-07,Decision - Split,3,UFC 274: Oliveira vs. Gaethje
Randy Brown,Khaos Williams,Randy Brown,2022-05-07,Decision - Split,3,UFC 274: Oliveira vs. Gaethje
Brandon Royval,Matt Schnell,Brandon Royval,2022-05-07,Submission,1,UFC 274: Oliveira vs. Gaethje
Andre Fialho,Cameron VanCamp,Andre Fialho,2022-05-07,KO/TKO,1,UFC 274: Oliveira vs. Gaethje
Blagoy Ivanov,Marcos Rogerio de Lima,Blagoy Ivanov,2022-05-07,Decision - Unanimous,3,UFC 274: Oliveira vs. Gaethje
Kleydson Rodrigues,CJ Vergara,CJ Vergara,2022-05-07,Decision - Split,3,UFC 274: Oliveira vs. Gaethje
Tracy Cortez,Melissa Gatto,Tracy Cortez,2022-05-07,Decision - Unanimous,3,UFC 274: Oliveira vs. Gaethje
Ariane Carnelossi,Loopy Godinez,Loopy Godinez,2022-05-07,Decision - Unanimous,3,UFC 274: Oliveira vs. Gaethje
Journey Newson,Fernie Garcia,Journey Newson,2022-05-07,Decision - Unanimous,3,UFC 274: Oliveira vs. Gaethje
Amanda Lemos,Jessica Andrade,Jessica Andrade,2022-04-23,Submission,1,UFC Fight Night: Lemos vs. Andrade
Clay Guida,Claudio Puelles,Claudio Puelles,2022-04-23,Submission,1,UFC Fight Night: Lemos vs. Andrade
Maycee Barber,Montana De La Rosa,Maycee Barber,2022-04-23,Decision - Unanimous,3,UFC Fight Night: Lemos vs. Andrade
Lando Vannata,Charles Jourdain,Charles Jourdain,2022-04-23,Submission,1,UFC Fight Night: Lemos vs. Andrade
Dwight Grant,Sergey Khandozhko,Sergey Khandozhko,2022-04-23,KO/TKO,2,UFC Fight Night: Lemos vs. Andrade
Jordan Wright,Marc-Andre Barriault,Marc-Andre Barriault,2022-04-23,Submission,1,UFC Fight Night: Lemos vs. Andrade
Tyson Pedro,Ike Villanueva,Tyson Pedro,2022-04-23,KO/TKO,1,UFC Fight Night: Lemos vs. Andrade
Aoriqileng,Cameron Else,Aoriqileng,2022-04-23,KO/TKO,1,UFC Fight Night: Lemos vs. Andrade
Preston Parsons,Evan Elder,Preston Parsons,2022-04-23,Decision - Unanimous,3,UFC Fight Night: Lemos vs. Andrade
Dean Barry,Mike Jackson,Mike Jackson,2022-04-23,DQ,1,UFC Fight Night: Lemos vs. Andrade
Marcin Prachnio,Philipe Lins,Philipe Lins,2022-04-23,Decision - Unanimous,3,UFC Fight Night: Lemos vs. Andrade
Caio Borralho,Gadzhi Omargadzhiev,Caio Borralho,2022-04-16,Decision - Unanimous,3,UFC Fight Night: Luque vs. Muhammad
Vicente Luque,Belal Muhammad,Belal Muhammad,2022-04-16,Decision - Unanimous,5,UFC Fight Night: Luque vs. Muhammad
Miguel Baeza,Andre Fialho,Andre Fialho,2022-04-16,KO/TKO,1,UFC Fight Night: Luque vs. Muhammad
Mayra Bueno Silva,Wu Yanan,Mayra Bueno Silva,2022-04-16,Decision - Unanimous,3,UFC Fight Night: Luque vs. Muhammad
Mounir Lazzez,Ange Loosa,Mounir Lazzez,2022-04-16,Decision - Unanimous,3,UFC Fight Night: Luque vs. Muhammad
Pat Sabatini,TJ Laramie,Pat Sabatini,2022-04-16,Decision - Unanimous,3,UFC Fight Night: Luque vs. Muhammad
Drakkar Klose,Brandon Jenkins,Drakkar Klose,2022-04-16,KO/TKO,2,UFC Fight Night: Luque vs. Muhammad
Devin Clark,William Knight,Devin Clark,2022-04-16,KO/TKO,3,UFC Fight Night: Luque vs. Muhammad
Lina Lansberg,Pannie Kianzad,Pannie Kianzad,2022-04-16,Decision - Unanimous,3,UFC Fight Night: Luque vs. Muhammad
Rafa Garcia,Jesse Ronson,Rafa Garcia,2022-04-16,Submission,2,UFC Fight Night: Luque vs. Muhammad
Chris Barnett,Martin Buday,Martin Buday,2022-04-16,Decision - Unanimous,3,UFC Fight Night: Luque vs. Muhammad
Jordan Leavitt,Trey Ogden,Jordan Leavitt,2022-04-16,Decision - Split,3,UFC Fight Night: Luque vs. Muhammad
Alatengheili,Kevin Croom,Alatengheili,2022-04-16,KO/TKO,1,UFC Fight Night: Luque vs. Muhammad
Istela Nunes,Sam Hughes,Sam Hughes,2022-04-16,Decision - Majority,3,UFC Fight Night: Luque vs. Muhammad
Aljamain Sterling,Petr Yan,Aljamain Sterling,2022-04-09,Decision - Split,5,UFC 273: Volkanovski vs. The Korean Zombie
Gilbert Burns,Khamzat Chimaev,Khamzat Chimaev,2022-04-09,Decision - Unanimous,3,UFC 273: Volkanovski vs. The Korean Zombie
Alexander Volkanovski,Chan Sung Jung,Alexander Volkanovski,2022-04-09,KO/TKO,4,UFC 273: Volkanovski vs. The Korean Zombie
Mackenzie Dern,Tecia Pennington,Mackenzie Dern,2022-04-09,Decision - Split,3,UFC 273: Volkanovski vs. The Korean Zombie
Ian Machado Garry,Darian Weeks,Ian Machado Garry,2022-04-09,Decision - Unanimous,3,UFC 273: Volkanovski vs. The Korean Zombie
Vinc Pichel,Mark Madsen,Mark Madsen,2022-04-09,Decision - Unanimous,3,UFC 273: Volkanovski vs. The Korean Zombie
Anthony Hernandez,Josh Fremd,Anthony Hernandez,2022-04-09,Decision - Unanimous,3,UFC 273: Volkanovski vs. The Korean Zombie
Aleksei Oleinik,Jared Vanderaa,Aleksei Oleinik,2022-04-09,Submission,1,UFC 273: Volkanovski vs. The Korean Zombie
Aspen Ladd,Raquel Pennington,Raquel Pennington,2022-04-09,Decision - Unanimous,3,UFC 273: Volkanovski vs. The Korean Zombie
Mickey Gall,Mike Malott,Mike Malott,2022-04-09,KO/TKO,1,UFC 273: Volkanovski vs. The Korean Zombie
Piera Rodriguez,Kay Hansen,Piera Rodriguez,2022-04-09,Decision - Unanimous,3,UFC 273: Volkanovski vs. The Korean Zombie
Alexander Volkov,Tom Aspinall,Tom Aspinall,2022-03-19,Submission,1,UFC Fight Night: Volkov vs. Aspinall
Julio Arce,Daniel Santos,Julio Arce,2022-04-09,Decision - Unanimous,3,UFC 273: Volkanovski vs. The Korean Zombie
Paddy Pimblett,Kazula Vargas,Paddy Pimblett,2022-03-19,Submission,1,UFC Fight Night: Volkov vs. Aspinall
Arnold Allen,Dan Hooker,Arnold Allen,2022-03-19,KO/TKO,1,UFC Fight Night: Volkov vs. Aspinall
Gunnar Nelson,Takashi Sato,Gunnar Nelson,2022-03-19,Decision - Unanimous,3,UFC Fight Night: Volkov vs. Aspinall
Jai Herbert,Ilia Topuria,Ilia Topuria,2022-03-19,KO/TKO,2,UFC Fight Night: Volkov vs. Aspinall
Shamil Abdurakhimov,Sergei Pavlovich,Sergei Pavlovich,2022-03-19,KO/TKO,1,UFC Fight Night: Volkov vs. Aspinall
Molly McCann,Luana Carolina,Molly McCann,2022-03-19,KO/TKO,3,UFC Fight Night: Volkov vs. Aspinall
Mike Grundy,Makwan Amirkhani,Makwan Amirkhani,2022-03-19,Submission,1,UFC Fight Night: Volkov vs. Aspinall
Nikita Krylov,Paul Craig,Paul Craig,2022-03-19,Submission,1,UFC Fight Night: Volkov vs. Aspinall
Jack Shore,Timur Valiev,Jack Shore,2022-03-19,Decision - Unanimous,3,UFC Fight Night: Volkov vs. Aspinall
Cory McKenna,Elise Reed,Elise Reed,2022-03-19,Decision - Split,3,UFC Fight Night: Volkov vs. Aspinall
Muhammad Mokaev,Cody Durden,Muhammad Mokaev,2022-03-19,Submission,1,UFC Fight Night: Volkov vs. Aspinall
Joanne Wood,Alexa Grasso,Alexa Grasso,2022-03-26,Submission,1,UFC Fight Night: Blaydes vs. Daukaus
Curtis Blaydes,Chris Daukaus,Curtis Blaydes,2022-03-26,KO/TKO,2,UFC Fight Night: Blaydes vs. Daukaus
Matt Brown,Bryan Barberena,Bryan Barberena,2022-03-26,Decision - Split,3,UFC Fight Night: Blaydes vs. Daukaus
Neil Magny,Max Griffin,Neil Magny,2022-03-26,Decision - Split,3,UFC Fight Night: Blaydes vs. Daukaus
Askar Askarov,Kai Kara-France,Kai Kara-France,2022-03-26,Decision - Unanimous,3,UFC Fight Night: Blaydes vs. Daukaus
Marc Diakiese,Viacheslav Borshchev,Marc Diakiese,2022-03-26,Decision - Unanimous,3,UFC Fight Night: Blaydes vs. Daukaus
Chris Gutierrez,Batgerel Danaa,Chris Gutierrez,2022-03-26,KO/TKO,2,UFC Fight Night: Blaydes vs. Daukaus
Sara McMann,Karol Rosa,Sara McMann,2022-03-26,Decision - Unanimous,3,UFC Fight Night: Blaydes vs. Daukaus
Aliaskhab Khizriev,Denis Tiuliulin,Aliaskhab Khizriev,2022-03-26,Submission,2,UFC Fight Night: Blaydes vs. Daukaus
Luis Saldana,Bruno Souza,Luis Saldana,2022-03-26,Decision - Unanimous,3,UFC Fight Night: Blaydes vs. Daukaus
Jennifer Maia,Manon Fiorot,Manon Fiorot,2022-03-26,Decision - Unanimous,3,UFC Fight Night: Blaydes vs. Daukaus
Matheus Nicolau,David Dvorak,Matheus Nicolau,2022-03-26,Decision - Unanimous,3,UFC Fight Night: Blaydes vs. Daukaus
Thiago Santos,Magomed Ankalaev,Magomed Ankalaev,2022-03-12,Decision - Unanimous,5,UFC Fight Night: Santos vs. Ankalaev
Marlon Moraes,Song Yadong,Song Yadong,2022-03-12,KO/TKO,1,UFC Fight Night: Santos vs. Ankalaev
Khalil Rountree Jr.,Karl Roberson,Khalil Rountree Jr.,2022-03-12,KO/TKO,2,UFC Fight Night: Santos vs. Ankalaev
Sodiq Yusuff,Alex Caceres,Sodiq Yusuff,2022-03-12,Decision - Unanimous,3,UFC Fight Night: Santos vs. Ankalaev
Alex Pereira,Bruno Silva,Alex Pereira,2022-03-12,Decision - Unanimous,3,UFC Fight Night: Santos vs. Ankalaev
Matthew Semelsberger,AJ Fletcher,Matthew Semelsberger,2022-03-12,Decision - Unanimous,3,UFC Fight Night: Santos vs. Ankalaev
Drew Dober,Terrance McKinney,Drew Dober,2022-03-12,KO/TKO,1,UFC Fight Night: Santos vs. Ankalaev
JJ Aldrich,Gillian Robertson,JJ Aldrich,2022-03-12,Decision - Unanimous,3,UFC Fight Night: Santos vs. Ankalaev
Damon Jackson,Kamuela Kirk,Damon Jackson,2022-03-12,Submission,2,UFC Fight Night: Santos vs. Ankalaev
Trevin Jones,Javid Basharat,Javid Basharat,2022-03-12,Decision - Unanimous,3,UFC Fight Night: Santos vs. Ankalaev
Sabina Mazo,Miranda Maverick,Miranda Maverick,2022-03-12,Submission,2,UFC Fight Night: Santos vs. Ankalaev
Dalcha Lungiambula,Cody Brundage,Cody Brundage,2022-03-12,Submission,1,UFC Fight Night: Santos vs. Ankalaev
Tafon Nchukwi,Azamat Murzakanov,Azamat Murzakanov,2022-03-12,KO/TKO,3,UFC Fight Night: Santos vs. Ankalaev
Kris Moutinho,Guido Cannetti,Guido Cannetti,2022-03-12,KO/TKO,1,UFC Fight Night: Santos vs. Ankalaev
Islam Makhachev,King Green,Islam Makhachev,2022-02-26,KO/TKO,1,UFC Fight Night: Makhachev vs. Green
Ji Yeon Kim,Priscila Cachoeira,Priscila Cachoeira,2022-02-26,Decision - Unanimous,3,UFC Fight Night: Makhachev vs. Green
Misha Cirkunov,Wellington Turman,Wellington Turman,2022-02-26,Submission,2,UFC Fight Night: Makhachev vs. Green
Arman Tsarukyan,Joel Alvarez,Arman Tsarukyan,2022-02-26,KO/TKO,2,UFC Fight Night: Makhachev vs. Green
Armen Petrosyan,Gregory Rodrigues,Armen Petrosyan,2022-02-26,Decision - Split,3,UFC Fight Night: Makhachev vs. Green
Josiane Nunes,Ramona Pascual,Josiane Nunes,2022-02-26,Decision - Unanimous,3,UFC Fight Night: Makhachev vs. Green
Rongzhu,Ignacio Bahamondes,Ignacio Bahamondes,2022-02-26,Submission,3,UFC Fight Night: Makhachev vs. Green
Terrance McKinney,Fares Ziam,Terrance McKinney,2022-02-26,Submission,1,UFC Fight Night: Makhachev vs. Green
Alejandro Perez,Jonathan Martinez,Jonathan Martinez,2022-02-26,Decision - Unanimous,3,UFC Fight Night: Makhachev vs. Green
Ramiz Brahimaj,Micheal Gillmore,Ramiz Brahimaj,2022-02-26,Submission,1,UFC Fight Night: Makhachev vs. Green
Johnny Walker,Jamahal Hill,Jamahal Hill,2022-02-19,KO/TKO,1,UFC Fight Night: Walker vs. Hill
Victor Altamirano,Carlos Hernandez,Carlos Hernandez,2022-02-26,Decision - Split,3,UFC Fight Night: Makhachev vs. Green
Jim Miller,Nikolas Motta,Jim Miller,2022-02-19,KO/TKO,2,UFC Fight Night: Walker vs. Hill
Parker Porter,Alan Baudot,Parker Porter,2022-02-19,Decision - Unanimous,3,UFC Fight Night: Walker vs. Hill
Kyle Daukaus,Jamie Pickett,Kyle Daukaus,2022-02-19,Submission,1,UFC Fight Night: Walker vs. Hill
Gabriel Benitez,David Onama,David Onama,2022-02-19,KO/TKO,1,UFC Fight Night: Walker vs. Hill
Joaquin Buckley,Abdul Razak Alhassan,Joaquin Buckley,2022-02-19,Decision - Split,3,UFC Fight Night: Walker vs. Hill
Jessica-Rose Clark,Stephanie Egger,Stephanie Egger,2022-02-19,Submission,1,UFC Fight Night: Walker vs. Hill
Chad Anheliger,Jesse Strader,Chad Anheliger,2022-02-19,KO/TKO,3,UFC Fight Night: Walker vs. Hill
Diana Belbita,Gloria de Paula,Gloria de Paula,2022-02-19,Decision - Unanimous,3,UFC Fight Night: Walker vs. Hill
Chas Skelly,Mark Striegl,Chas Skelly,2022-02-19,KO/TKO,2,UFC Fight Night: Walker vs. Hill
Colby Covington,Jorge Masvidal,Colby Covington,2022-03-05,Decision - Unanimous,5,UFC 272: Covington vs. Masvidal
Jonathan Pearce,Christian Rodriguez,Jonathan Pearce,2022-02-19,Decision - Unanimous,3,UFC Fight Night: Walker vs. Hill
Mario Bautista,Jay Perrin,Mario Bautista,2022-02-19,Decision - Unanimous,3,UFC Fight Night: Walker vs. Hill
Kevin Holland,Alex Oliveira,Kevin Holland,2022-03-05,KO/TKO,2,UFC 272: Covington vs. Masvidal
Rafael Dos Anjos,Renato Moicano,Rafael Dos Anjos,2022-03-05,Decision - Unanimous,5,UFC 272: Covington vs. Masvidal
Edson Barboza,Bryce Mitchell,Bryce Mitchell,2022-03-05,Decision - Unanimous,3,UFC 272: Covington vs. Masvidal
Serghei Spivac,Greg Hardy,Serghei Spivac,2022-03-05,KO/TKO,1,UFC 272: Covington vs. Masvidal
Jalin Turner,Jamie Mullarkey,Jalin Turner,2022-03-05,KO/TKO,2,UFC 272: Covington vs. Masvidal
Nicolae Negumereanu,Kennedy Nzechukwu,Nicolae Negumereanu,2022-03-05,Decision - Split,3,UFC 272: Covington vs. Masvidal
Marina Rodriguez,Yan Xiaonan,Marina Rodriguez,2022-03-05,Decision - Split,3,UFC 272: Covington vs. Masvidal
Maryna Moroz,Mariya Agapova,Maryna Moroz,2022-03-05,Submission,2,UFC 272: Covington vs. Masvidal
Brian Kelleher,Umar Nurmagomedov,Umar Nurmagomedov,2022-03-05,Submission,1,UFC 272: Covington vs. Masvidal
Tim Elliott,Tagir Ulanbekov,Tim Elliott,2022-03-05,Decision - Unanimous,3,UFC 272: Covington vs. Masvidal
Devonte Smith,Ludovit Klein,Ludovit Klein,2022-03-05,Decision - Split,3,UFC 272: Covington vs. Masvidal
Dustin Jacoby,Michal Oleksiejczuk,Dustin Jacoby,2022-03-05,Decision - Unanimous,3,UFC 272: Covington vs. Masvidal
Israel Adesanya,Robert Whittaker,Israel Adesanya,2022-02-12,Decision - Unanimous,5,UFC 271: Adesanya vs. Whittaker 2
Derrick Lewis,Tai Tuivasa,Tai Tuivasa,2022-02-12,KO/TKO,2,UFC 271: Adesanya vs. Whittaker 2
Jared Cannonier,Derek Brunson,Jared Cannonier,2022-02-12,KO/TKO,2,UFC 271: Adesanya vs. Whittaker 2
Alexander Hernandez,Renato Moicano,Renato Moicano,2022-02-12,Submission,2,UFC 271: Adesanya vs. Whittaker 2
King Green,Nasrat Haqparast,King Green,2022-02-12,Decision - Unanimous,3,UFC 271: Adesanya vs. Whittaker 2
Andrei Arlovski,Jared Vanderaa,Andrei Arlovski,2022-02-12,Decision - Split,3,UFC 271: Adesanya vs. Whittaker 2
Roxanne Modafferi,Casey O'Neill,Casey O'Neill,2022-02-12,Decision - Split,3,UFC 271: Adesanya vs. Whittaker 2
Kyler Phillips,Marcelo Rojo,Kyler Phillips,2022-02-12,Submission,3,UFC 271: Adesanya vs. Whittaker 2
Carlos Ulberg,Fabio Cherant,Carlos Ulberg,2022-02-12,Decision - Unanimous,3,UFC 271: Adesanya vs. Whittaker 2
Mana Martinez,Ronnie Lawrence,Ronnie Lawrence,2022-02-12,Decision - Unanimous,3,UFC 271: Adesanya vs. Whittaker 2
Jeremiah Wells,Blood Diamond,Jeremiah Wells,2022-02-12,Submission,1,UFC 271: Adesanya vs. Whittaker 2
Douglas Silva de Andrade,Sergey Morozov,Douglas Silva de Andrade,2022-02-12,Submission,2,UFC 271: Adesanya vs. Whittaker 2
AJ Dobson,Jacob Malkoun,Jacob Malkoun,2022-02-12,Decision - Unanimous,3,UFC 271: Adesanya vs. Whittaker 2
William Knight,Maxim Grishin,Maxim Grishin,2022-02-12,Decision - Unanimous,3,UFC 271: Adesanya vs. Whittaker 2
Jack Hermansson,Sean Strickland,Sean Strickland,2022-02-05,Decision - Split,5,UFC Fight Night: Hermansson vs. Strickland
Punahele Soriano,Nick Maximov,Nick Maximov,2022-02-05,Decision - Split,3,UFC Fight Night: Hermansson vs. Strickland
Shavkat Rakhmonov,Carlston Harris,Shavkat Rakhmonov,2022-02-05,KO/TKO,1,UFC Fight Night: Hermansson vs. Strickland
Sam Alvey,Brendan Allen,Brendan Allen,2022-02-05,Submission,2,UFC Fight Night: Hermansson vs. Strickland
Tresean Gore,Bryan Battle,Bryan Battle,2022-02-05,Decision - Unanimous,3,UFC Fight Night: Hermansson vs. Strickland
Miles Johns,John Castaneda,John Castaneda,2022-02-05,Submission,3,UFC Fight Night: Hermansson vs. Strickland
Julian Erosa,Steven Peterson,Julian Erosa,2022-02-05,Decision - Split,3,UFC Fight Night: Hermansson vs. Strickland
Chidi Njokuani,Marc-Andre Barriault,Chidi Njokuani,2022-02-05,KO/TKO,1,UFC Fight Night: Hermansson vs. Strickland
Hakeem Dawodu,Michael Trizano,Hakeem Dawodu,2022-02-05,Decision - Unanimous,3,UFC Fight Night: Hermansson vs. Strickland
Alexis Davis,Julija Stoliarenko,Alexis Davis,2022-02-05,Decision - Unanimous,3,UFC Fight Night: Hermansson vs. Strickland
Jailton Almeida,Danilo Marques,Jailton Almeida,2022-02-05,KO/TKO,1,UFC Fight Night: Hermansson vs. Strickland
Jason Witt,Phil Rowe,Phil Rowe,2022-02-05,KO/TKO,2,UFC Fight Night: Hermansson vs. Strickland
Francis Ngannou,Ciryl Gane,Francis Ngannou,2022-01-22,Decision - Unanimous,5,UFC 270: Ngannou vs. Gane
Malcolm Gordon,Denys Bondar,Malcolm Gordon,2022-02-05,KO/TKO,1,UFC Fight Night: Hermansson vs. Strickland
Brandon Moreno,Deiveson Figueiredo,Deiveson Figueiredo,2022-01-22,Decision - Unanimous,5,UFC 270: Ngannou vs. Gane
Michel Pereira,Andre Fialho,Michel Pereira,2022-01-22,Decision - Unanimous,3,UFC 270: Ngannou vs. Gane
Michael Morales,Trevin Giles,Michael Morales,2022-01-22,KO/TKO,1,UFC 270: Ngannou vs. Gane
Cody Stamann,Said Nurmagomedov,Said Nurmagomedov,2022-01-22,Submission,1,UFC 270: Ngannou vs. Gane
Raoni Barcelos,Victor Henry,Victor Henry,2022-01-22,Decision - Unanimous,3,UFC 270: Ngannou vs. Gane
Tony Gravely,Saimon Oliveira,Tony Gravely,2022-01-22,Decision - Unanimous,3,UFC 270: Ngannou vs. Gane
Jack Della Maddalena,Pete Rodriguez,Jack Della Maddalena,2022-01-22,KO/TKO,1,UFC 270: Ngannou vs. Gane
Matt Frevola,Genaro Valdez,Matt Frevola,2022-01-22,KO/TKO,1,UFC 270: Ngannou vs. Gane
Kay Hansen,Jasmine Jasudavicius,Jasmine Jasudavicius,2022-01-22,Decision - Unanimous,3,UFC 270: Ngannou vs. Gane
Silvana Gomez Juarez,Vanessa Demopoulos,Vanessa Demopoulos,2022-01-22,Submission,1,UFC 270: Ngannou vs. Gane
Calvin Kattar,Giga Chikadze,Calvin Kattar,2022-01-15,Decision - Unanimous,5,UFC Fight Night: Kattar vs. Chikadze
Jake Collier,Chase Sherman,Jake Collier,2022-01-15,Submission,1,UFC Fight Night: Kattar vs. Chikadze
Brandon Royval,Rogerio Bontorin,Brandon Royval,2022-01-15,Decision - Split,3,UFC Fight Night: Kattar vs. Chikadze
Katlyn Cerminara,Jennifer Maia,Katlyn Cerminara,2022-01-15,Decision - Unanimous,3,UFC Fight Night: Kattar vs. Chikadze
Jamie Pickett,Joseph Holmes,Jamie Pickett,2022-01-15,Decision - Unanimous,3,UFC Fight Night: Kattar vs. Chikadze
Dakota Bush,Viacheslav Borshchev,Viacheslav Borshchev,2022-01-15,KO/TKO,1,UFC Fight Night: Kattar vs. Chikadze
Bill Algeo,Joanderson Brito,Bill Algeo,2022-01-15,Decision - Unanimous,3,UFC Fight Night: Kattar vs. Chikadze
TJ Brown,Charles Rosa,TJ Brown,2022-01-15,Decision - Unanimous,3,UFC Fight Night: Kattar vs. Chikadze
Court McGee,Ramiz Brahimaj,Court McGee,2022-01-15,Decision - Unanimous,3,UFC Fight Night: Kattar vs. Chikadze
Brian Kelleher,Kevin Croom,Brian Kelleher,2022-01-15,Decision - Unanimous,3,UFC Fight Night: Kattar vs. Chikadze
Derrick Lewis,Chris Daukaus,Derrick Lewis,2021-12-18,KO/TKO,1,UFC Fight Night: Lewis vs. Daukaus
